bangla_speech,english_speech,dialect
তুঁই বিয়াত রাযি নে ?,Are you willing to marry?,Chittagong
তুমি কি বিয়াতে রাজি ?,Are you willing to marry?,Mymensingh
তুউই কি বিয়াত রাজি ,Are you willing to marry?,Noakhali
তুমিতাইন কিতা বিয়াত রাজি নি?,Are you willing to marry?,Sylhet
হ্যায় ক্যামনে পারছে এত্তো স্বপ্ন দ্যাহাইন্নার পরে মোরে ঠগাইতে?,How could he deceive me after showing so many dreams?,Barishal 
তারেই বহুত ভালোবাদি তারে ছারিনেল্লাই নো চাই,"I love him, I don't want to leave him",Chittagong
তারেই ভালোবাসি আমি তারে ছাড়তে চাই না,"I love him, I don't want to leave him",Mymensingh
হিগারেই ভালোবাসি আই হিগারে ছাইড়তে চাই না,"I love him, I don't want to leave him",Noakhali
তারেউ ভালাপাই আমি তারে ছাড়তাম চাই না,"I love him, I don't want to leave him",Sylhet
রুগীরে হাসপাতালে থাকতে হইবে,The patient must stay in the hospital,Barishal 
গতহাল লাতিয়া আরে হই দিয়ে আই নাকি বেইমান,Last night he told me that I was dishonest,Chittagong
গতকাল রাতে আমারে কয়া দিলো আমি নাকি বেইমান,Last night he told me that I was dishonest,Mymensingh
গতকাইল রাইতে আরে কই দিলো আই বেলে বেইমান,Last night he told me that I was dishonest,Noakhali
 কাইল রাইত মোরে কই দিলো মুই বুলে বেইমান,Last night he told me that I was dishonest,Sylhet
নানারে দ্যাখতে গ্যালাহম,I went to see Nana,Barishal 
রোগিরে হাসপাতালত তাহন ফরিবু,The patient must stay in the hospital,Chittagong
রোগীরে হাসপাতালে থাকতে হইব,The patient must stay in the hospital,Mymensingh
রোগীরে হাসপাতালে থাইকতে অইবো,The patient must stay in the hospital,Noakhali
বেমারিরে হাসপাতাল থাখা লাগবো,The patient must stay in the hospital,Sylhet
জীবন দিয়া ক্যাম্নে এত হওালে দিন গুলান কাইট্টা গ্যালে হিসাব মিলাইত পারিনা,I can't figure out how the days flew by so quickly,Barishal 
ও ঠিকিই হইয়ে,He is about seventy years old,Chittagong
হের বয়স কম-বেশি সত্তর বছর,He is about seventy years old,Mymensingh
হেতাঁর বয়স কম-বেশি হত্তুর বছর,He is about seventy years old,Noakhali
তাঁইন ওর বয়স কমবেশি সত্তইর বছর,He is about seventy years old,Sylhet
ঘরে আলো বাতাস হেইরহম ঢোকতে পারে না,Light and air cannot enter the room,Barishal 
যিবনতত্তুন কেন গরি এত তারাতারি দিন্নুন হাডি গেয়্যুই ইসাব মিলাইত ন ফারির,I can't figure out how the days flew by so quickly,Chittagong
জীবন থাইক্কা কি কইরা এত তাড়াতাড়ি দিনগুলা কাইটা গেল হিসাব মিলাইতে ফারিনা,I can't figure out how the days flew by so quickly,Mymensingh
জীবন তুন কেন্নে করি এতো ত্যাতাই দিনগুন কাডি গেলো হিসাব মিলাইতাম হারি না,I can't figure out how the days flew by so quickly,Noakhali
জীবন তনে কিলা ওতো জলদি দিন ওকল কাটি গেলো হিসাব মিলাইতে পারিয়ার না,I can't figure out how the days flew by so quickly,Sylhet
মোর আর তোমার মায়ের বেমালা গয়না আছে,You and I have a lot of jewelry,Barishal 
গরত আলো হাওয়া এইল্লে ডুকিন্নো ফারে,Light and air cannot enter the room,Chittagong
ঘরে আলো-হাওয়া তেমন ঢুকতে পারে না,Light and air cannot enter the room,Mymensingh
ঘরে আলো-হাওয়া হিরুম ঢুইকতে হারে না,Light and air cannot enter the room,Noakhali
ঘর ওর মাঝে আলো বাতাস ওতো ঢুকতো ফারে না,Light and air cannot enter the room,Sylhet
যাইহউক আসল কথায় আহি,"Anyway, let's get to the point",Barishal 
আরা তারে হইলাম মিলিয়েরে হতা হোনা কি সমইস্যা,We told him talk together what is the problem,Chittagong
আমরা তারে কইসি একলগে কথা ক কি সমস্যা,We told him talk together what is the problem,Mymensingh
আমরা হেতেরে কইছি একলগে কতা কইতে কি সমইস্যা,We told him talk together what is the problem,Noakhali
আমরা তারে কইছি এখলগে মাতো কিতা সমস্যা,We told him talk together what is the problem,Sylhet
তোমারে দেইখ্যা থমকে খারাইয়া আল্লাহম,I stopped to see you,Barishal 
আরেক্কেনা ডর অই গেইলে কেন গরিবা ,What to do if a little bigger?,Chittagong
আরেকটু বড় হইলে কী করব ?,What to do if a little bigger?,Mymensingh
আরেককানা বড্ডা অইলে কী কইরবা ?,What to do if a little bigger?,Noakhali
আর থুরা বড় ওইলে কিতা করবো?,What to do if a little bigger?,Sylhet
তোমার ভাই কোম্মে চাকরি করে?,Where does your brother work?,Barishal 
তোঁয়ারে দেহি দর অই তিয়ায় আচিলাম,I stopped to see you,Chittagong
তোমারে দেইখখা তাক লাইজ্ঞা খারায়া আসিলাম,I stopped to see you,Mymensingh
তোমারে দেই থমকী খাড়াই গেছি,I stopped to see you,Noakhali
তুমারে দেকিয়া ভেমটালা লাগিয়া উবাই রইছলাম,I stopped to see you,Sylhet
বিয়ার পরথোম ৩ মাস ভালই চলছে,The first 3 months of marriage are going well,Barishal 
তোঁয়ার বাই চঁঅরি হডে গরে?,Where does your brother work?,Chittagong
তোমার ভাই কোনখানে চাকরি করেন?,Where does your brother work?,Mymensingh
তোয়ার ভাই কোনাই চাকরি করে,Where does your brother work?,Noakhali
তুমিতাইন ওর ভাইয়ে কিতাত চাকরি করোইন?,Where does your brother work?,Sylhet
তুমি রানছো?,You cooked,Barishal 
বিয়ার ৩ বছর ভালোই চইল্লে,The first 3 months of marriage are going well,Chittagong
বিয়ার প্রথম ৩ মাস ভালাই চলতাসে,The first 3 months of marriage are going well,Mymensingh
বিয়ার হথম ৩ মাস ভালাই চইলছে,The first 3 months of marriage are going well,Noakhali
 বিয়ার পয়লা ৩ মাস ভালাউ চলছিল,The first 3 months of marriage are going well,Sylhet
মুই এউক্কা পোলা,I am a boy,Barishal 
তুঁই রাইদ্দো দে,You cooked,Chittagong
তুমি রানসো,You cooked,Mymensingh
তুমি রাঁধছো,You cooked,Noakhali
তুমি রানচো,You cooked,Sylhet
যে মানু গায়ে হাত তোলে অন্য মাইয়াগো লগে কথা কয় ঘরে বউ থুইয়া,The man who touches his body talks to other girls and keeps his wife at home,Barishal 
আঁই ওজ্ঞা ফোয়া,I am a boy,Chittagong
আমি একটা ছেড়া,I am a boy,Mymensingh
আই অগগা হোলা,I am a boy,Noakhali
মুই এখটা ফুয়া,I am a boy,Sylhet
হেইতে তহন হ্যায় কারো লগে কথা কইতে না,So then he didn't talk to anyone,Barishal 
যে মানুষ বেডি ওক্কলের গাত হাত দিয়েরে হতা হো গরত বউ রাহিয়েরে,The man who touches his body talks to other girls and keeps his wife at home,Chittagong
যে মানুষ গায়ে হাত তুলে অন্য মাইয়ারার সাথে কথা কয় ঘরে বউ রাইক্ষা।,The man who touches his body talks to other girls and keeps his wife at home,Mymensingh
যে মানুষ গাত আত উডায় অন্য বেডি গো লগে কতা কয় ঘরে বৌ রাই,The man who touches his body talks to other girls and keeps his wife at home,Noakhali
যেগুয়ে গাত হাত তুলিয়া অন্য ফুরিন্তোর লগে মাতে ঘরও বউ রাখিয়া,The man who touches his body talks to other girls and keeps his wife at home,Sylhet
বেডাডা ফোনে কথা কইতেয়াছে,The man is talking on the phone,Barishal 
সরিসর তইল বুড় অইবার আগে চুল সাদা ওয়াত্তু আর ফরাত্তুন বাচায়,Mustard oil prevents premature graying of hair and reduces hair fall,Chittagong
সরিষার তেল অকালে চুল সাদা হওয়ন রোধ করে আর চুল পড়ন কমায়,Mustard oil prevents premature graying of hair and reduces hair fall,Mymensingh
শইষ্যার তৈল অকালে চুল হাকি যাওন ও চুল হরা কমায়,Mustard oil prevents premature graying of hair and reduces hair fall,Noakhali
 হাইরোর তেল অখালে চুল সাদা অউয়া আখটায় আর চুল পড়া কমায়,Mustard oil prevents premature graying of hair and reduces hair fall,Sylhet
আমনে কারো জীবনে সুখ আইনা দেবেন ভাইবা পেরেম করেন,Love thinking you will bring happiness to someone's life,Barishal 
মানুষইবা ফোন অত হতা হর,The man is talking on the phone,Chittagong
বেডাডা ফোনে কথা কইতাসে,The man is talking on the phone,Mymensingh
লোকটি ফোন কথা কইতেছে,The man is talking on the phone,Noakhali
বেটা ইগুয়ে ফোনে মাতের,The man is talking on the phone,Sylhet
মান সম্মানের ডরে কেউ কিছু কয় না,No one says anything for fear of dignity,Barishal 
অনে হনিজার জিবন অত সুক আনি দিবান বাবি ফ্রেম গরন,Love thinking you will bring happiness to someone's life,Chittagong
আফনে কারো জীবনে সুখ আইন্না দিবেন ভাইব্বা প্রেম করেন,Love thinking you will bring happiness to someone's life,Mymensingh
আননে কারো জীবনে ভালোবাসা আনি দিবেন এই চিন্তা করে পীড়িত করেন,Love thinking you will bring happiness to someone's life,Noakhali
আফনে কারুর জীবনো সুখ আনিয়া দিবা ভাবিয়া পেরেম করইন,Love thinking you will bring happiness to someone's life,Sylhet
হাসতে হাসতে সিগারেট খাওয়া পোলাডা এক দিন কাশতে কাশতে মইরা যাইবে,A boy who smokes a cigarette with a smile will one day cough and die,Barishal 
আর জামাই বেয়াক্কুনর বুঝাই বুঝাই যে আই এইল্লে কিছু নো গরির,My husband is tired of explaining to everyone that I am not doing such a thing,Chittagong
আমার জামাই সবাইরে বুঝায়া বঝায়া ক্লান্ত যে আমি এরকম কিসু করতাসি না,My husband is tired of explaining to everyone that I am not doing such a thing,Mymensingh
আর স্বামী বেকেরে বুঝাই বুঝাই ক্লান্ত যে আই ইরুম কিছু কইরতেছি না,My husband is tired of explaining to everyone that I am not doing such a thing,Noakhali
মোর জামাই হখলরে বুঝাই বুঝাই ক্লান্ত যে মুই ইলান কিচ্ছু খরিয়ার না,My husband is tired of explaining to everyone that I am not doing such a thing,Sylhet
মুই এহন দিয়া সিদ্ধান্ত নিছি যে আর কাউরো কথা মুই হুনমু না,I have decided from now on not to listen to anyone else,Barishal 
আইশত আইশত সিগারেট হাদে ফোয়াইবা এদ্দিন হাইশতে হাইশতে মরি যাইবই,A boy who smokes a cigarette with a smile will one day cough and die,Chittagong
হাসতে হাসতে সিগারেট খাওয়া ছেড়াডা একদিন কাশতে কাশতে মইরা যাইব,A boy who smokes a cigarette with a smile will one day cough and die,Mymensingh
হাইসতে হাইসতে সিগারেট খাওয়া হোলাগা একদিন কাইশতে কাইশতে মরি যাইব,A boy who smokes a cigarette with a smile will one day cough and die,Noakhali
আসতে আসতে সিগারেট খাওয়া ফুয়াটা এখদিন কাশতে কাশতে মরি যাইবো,A boy who smokes a cigarette with a smile will one day cough and die,Sylhet
হ্যায় মোর কথার উত্তরে কিছু কইলেন না,He didn't say anything in response to my words,Barishal 
আই এহনেত্তুন সিদ্ধান্ত লইয়ি আর হনিক্কের হতা নো ফুইন্নুম,I have decided from now on not to listen to anyone else,Chittagong
আমি এহন থাইক্কা সিদ্ধান্ত নিসি আর কারো কথা আমি হুনতাম না,I have decided from now on not to listen to anyone else,Mymensingh
আমি অন তুন সিদ্ধান্ত নিছি আর কারো কথা আই হুইনতান ন,I have decided from now on not to listen to anyone else,Noakhali
মুই অঅখন সিদ্ধান্ত নিছি আর খেরুর মাত মুই হুনতাম নায়,I have decided from now on not to listen to anyone else,Sylhet
আমনে নিজে কিছু এউক্কা করেন,You do something yourself,Barishal 
তিনি আর হতার হোনো জবাব নো দেয়,He didn't say anything in response to my words,Chittagong
হেয় আমার কথার জবাবে কিসু কইলেন না,He didn't say anything in response to my words,Mymensingh
হেতনে আর কতার জবাবে কিছু কইলেন না,He didn't say anything in response to my words,Noakhali
তাইন আমার মাত ওর জবাবে কুন্তাউ কইলা না,He didn't say anything in response to my words,Sylhet
দক্ষিনের জেলা কক্সবাজার,South District Cox's Bazar,Barishal 
অনে নিজে কিছু এক্কা গরন,You do something yourself,Chittagong
আফনে  নিজে কিসু একটা করেন,You do something yourself,Mymensingh
আন্নে নিজে কিছু এককান করেন,You do something yourself,Noakhali
আফনে নিজে কিচ্চু এখটা খরইন,You do something yourself,Sylhet
মোরে আল্লাহর কিরা দিয়া কইয়া দেছে এইয়া হ্যায় পারবে না,He told me by God that he can't do this,Barishal 
দইন অর জেলা হক্সবাজার,South District Cox's Bazar,Chittagong
দক্ষিণের জেলা কক্সবাজার,South District Cox's Bazar,Mymensingh
দইণের জেলা কক্সবাজার,South District Cox's Bazar,Noakhali
দক্ষিণ ওর জেলা কক্সবাজার,South District Cox's Bazar,Sylhet
মাইআউগ্গা হেয়ার শব হপ্পনের মইদ্ধে পলাউগ্গারে ভাব্তে থাহে,The girl imagines the boy in all her dreams,Barishal 
ইয়ার ফরত্তুন মাইয়ার ফরিবরতন দেহা যার,Since then the girl's behavior has changed,Chittagong
তারপর থাইক্কাই মাইয়ার আচরনে পরিবর্তন দেহা যায়,Since then the girl's behavior has changed,Mymensingh
তারপর থেকেই মেয়ের আচরনে পরিবর্তন দেখা যায়,Since then the girl's behavior has changed,Noakhali
 এর বাদ থাকি ফুড়ির আচরণ বদলানি দেখা যায়,Since then the girl's behavior has changed,Sylhet
মুই ফুটবল বিশ্বকাপ দ্যাখতে যাইতেয়াছি,I am going to watch the soccer world cup,Barishal 
মাইফোয়া ইবা তার বেজ্ঞিন সফ্নর মইদ্দে ফোয়াইবারে কল্ফনা গরে,The girl imagines the boy in all her dreams,Chittagong
ছেড়িটা তার সপ্নের মধ্যে ছেড়াটারে কল্পনা করে,The girl imagines the boy in all her dreams,Mymensingh
 মাইয়াদা  হিগার  স্বপ্নের ভিতরে খালি পোলাগারে লই চিন্তা করতে থাকে ,The girl imagines the boy in all her dreams,Noakhali
ফুড়িটাায় তাইর হখল সফনর মাজে ফুয়াটারে কল্পনা করে,The girl imagines the boy in all her dreams,Sylhet
আইজ মুই ছাতি আনতে ভুইল্লা গেছি,I forgot to bring an umbrella today,Barishal 
আঁই ফুটবল বিশ্বকাফ চাইতো যাইর,I am going to watch the soccer world cup,Chittagong
আমি ফুটবলের বিশ্বকাপ দেখতাম যাইতাসি,I am going to watch the soccer world cup,Mymensingh
আই ফুটবলের বিশ্বকাপ দেকতাম যাইয়ের,I am going to watch the soccer world cup,Noakhali
আমি ফুটবল ওর বিশ্বকাপ দেখাত যাইয়ার,I am going to watch the soccer world cup,Sylhet
মুই মনের দিক দিয়া বেমালা সমেস্যার মইধ্যে আছি,I am in a lot of trouble mentally,Barishal 
আযিয়া আঁই চাতি আইনতো বুলি গেইয়্যি ফেলায়্যি,I forgot to bring an umbrella today,Chittagong
আজকে আমি ছাতা আনতে ভুইল্লা গেসি,I forgot to bring an umbrella today,Mymensingh
আইজগা আই ছাতা আইনতো ভুলি গেছি,I forgot to bring an umbrella today,Noakhali
আইজ আমি ছাত্তি আনতে বুলি গেছি,I forgot to bring an umbrella today,Sylhet
মোরে আগে হগলডি আদর করতে,Everyone loved me before,Barishal 
আঁই মানুসিক বাবে কুব সমস্যাত আচি,I am in a lot of trouble mentally,Chittagong
আমি মনসিক ভাবে খুব সমস্যার মধ্যে আসি,I am in a lot of trouble mentally,Mymensingh
আই মানষিকভাবে সমস্যার মধ্যে আছি,I am in a lot of trouble mentally,Noakhali
 মুুই মানসিকভাবে বাক্কা সমস্যার মাঝে আছি,I am in a lot of trouble mentally,Sylhet
হেই রহম খারাপ পোলার পাল্লায় পরলে সর্বনাশ হইয়া যাই্তে,"If he fell in the hands of such a bad boy, he would have perished",Barishal 
আরে আগে বেজ্ঞুনে আদর হরিতো,Everyone loved me before,Chittagong
আমারে আগে বেহেই আদর করত,Everyone loved me before,Mymensingh
আরে আগে বেকে আদর কইরতো,Everyone loved me before,Noakhali
আমাতে আগে হক্কলে মায়া করতো,Everyone loved me before,Sylhet
এইয়া ক্যামনে সম্ভব,How is this possible?,Barishal 
ইতার নান বাযে ফোয়ার ফাল্লাত ফইরলে সর্বনাশ অই যাইতো,"If he fell in the hands of such a bad boy, he would have perished",Chittagong
হেইরম বাজে ছেড়ার পাল্লায় পড়লে সর্বনাশ হয়া যাইত,"If he fell in the hands of such a bad boy, he would have perished",Mymensingh
হেইক্কান বাজে হোলার হাল্লাত হইডলে সর্বনাশ অই যাইত,"If he fell in the hands of such a bad boy, he would have perished",Noakhali
হিলান বাদুয়া ফুয়ার চক্করো ফরলে সর্বনাশ অই যাইতো ,"If he fell in the hands of such a bad boy, he would have perished",Sylhet
মাইয়াডা বেমালা বেদ্দপ,The girl is very naughty,Barishal 
ইবা কেরিম্মা গরি সম্ভব,How is this possible?,Chittagong
এ কিরা কইরা সম্ভব,How is this possible?,Mymensingh
এডা কী করি সম্ভব,How is this possible?,Noakhali
ইগু কিলা ওয়!,How is this possible?,Sylhet
হ্যায় না বুইজঝা অন্যডির দোষ দেতেয়াছেলে,He was blaming others without realizing it,Barishal 
 বেডি ইবা বেশি বিয়াদব,The girl is very naughty,Chittagong
মাইয়াডা খুবই বেয়াদ্দব,The girl is very naughty,Mymensingh
মাইয়াডা খুবই বেদ্দপ,The girl is very naughty,Noakhali
ফুরিটা যে বেয়াদ্দব,The girl is very naughty,Sylhet
"ঘামে শরীল দিয়া যেই পানি আর খনিজ নুন বাইর হইয়া যায় ,হেইয়ার ম্যালাই পূরণ করতে পারে কদু",Gourd can fill most of the water and mineral salts that come out of the body through sweat,Barishal 
সে নো বিঝুয়েরে অন্যদের দোষ দিয়িল,He was blaming others without realizing it,Chittagong
হেয় না বুইজ্ঝা অন্যদের দোষ দিতাসিল,He was blaming others without realizing it,Mymensingh
হিগা না বুঝি অন্যগো দোষ দিতেআছিলো,He was blaming others without realizing it,Noakhali
হে না বুঝিয়াউ অইন্যরে দোষ দিতো আছলো!,He was blaming others without realizing it,Sylhet
ফুটবল খ্যালা মোর জীবনের অংশ,Playing football is part of my life,Barishal 
মাইয়া ফোয়া ইবার ঘটনা ফুনিয়েরে তারে দেশত আইবেল্লেই হইলাম,"After hearing about the incident of the girl, we asked her to come to the country",Chittagong
মাইয়াডার  ঘটনা হুইন্না আমরা হেরে দেশে আইতে কই,"After hearing about the incident of the girl, we asked her to come to the country",Mymensingh
মাইয়াগার ঘটনা হুনি আমরা ওনারে দেশে আইতে কই,"After hearing about the incident of the girl, we asked her to come to the country",Noakhali
ফুড়ির ঘটনা হুনিয়া আমরা তানরে দেশো আওয়ার লাগি কই ,"After hearing about the incident of the girl, we asked her to come to the country",Sylhet
মুই কইলাম লও কাজী অফিসে যাইয়া বিয়া করি,I said let's go to Kazi office and get married,Barishal 
ফুটবল কেলা আঁর যিবনঅর অংশ,Playing football is part of my life,Chittagong
ফুটবল খেলা আমার জীবনের অংশ,Playing football is part of my life,Mymensingh
ফুটবল খেলা আর জীবনের অংশ,Playing football is part of my life,Noakhali
ফুটবল খেলা ওইলো আমার জীবন ওর অংশ,Playing football is part of my life,Sylhet
এট্টুহানে ঘুমাইয়া লও,Get some sleep,Barishal 
আই হইলা চলো হাজি অফিসত যাইয়েরে বিয়া গরি ফেলাই,I said let's go to Kazi office and get married,Chittagong
আমি কইলাম লও কাজী অফিসে যায়া বিয়া করি ,I said let's go to Kazi office and get married,Mymensingh
আই কইলাম চলো কাজী অফিসে যাই বিয়া করি ,I said let's go to Kazi office and get married,Noakhali
মুই খইলাম চলো কাজী অফিসো গিয়া বিয়া খরিলাই,I said let's go to Kazi office and get married,Sylhet
সকালে পরালেহা করা ভালো উপায়,Studying in the morning is a good way,Barishal 
এক্কানাা ঘুমাইইয়েরে লো,Get some sleep,Chittagong
একটু ঘুমায়া নেও,Get some sleep,Mymensingh
এক্কানা ঘুমাই নাও,Get some sleep,Noakhali
থুরা ঘুমাই যাও,Get some sleep,Sylhet
তুমি কি রানতে পারো?,Can you cook?,Barishal 
বেইন্না ফরাশুনা গরা বালা,Studying in the morning is a good way,Chittagong
সকালে পড়াশুনা করা ভালা উপায়,Studying in the morning is a good way,Mymensingh
বেয়ানে হড়ালেয়া করা বালা উপায়,Studying in the morning is a good way,Noakhali
সকাইলকু পড়ালেখা করা বালা উপায়,Studying in the morning is a good way,Sylhet
কয়েকজন একলগে কইয়া ওডে,Some said together,Barishal 
তুঁই রাঁদিত যানো নে ?,Can you cook?,Chittagong
তুমি রান্না করতে পার ?,Can you cook?,Mymensingh
তুউই রান্না কইরতাম হারো,Can you cook?,Noakhali
তুমিতাইন কিতা রান্তায় ফারো নি?,Can you cook?,Sylhet
মুই কি করতে পারি?,What can I do?,Barishal 
হয়েকজন মিলিয়েরে হর,Some said together,Chittagong
কয়েকজন একসাথে কয়া উঠে,Some said together,Mymensingh
কয়েকজন একলগে বলি ওডে,Some said together,Noakhali
কতগুয়ে একলগে কইয়া উঠলো,Some said together,Sylhet
তোমার দিকেই চাইয়া রইছি,looking at you,Barishal 
আই কি গরিত ফারি?,What can I do?,Chittagong
আমি কিতা করতাম পারি?,What can I do?,Mymensingh
আই কী কইরতাম হারি?,What can I do?,Noakhali
আমি কিতা করতাম পারি?,What can I do?,Sylhet
হ্যার হাসি বেমালা সুন্দর,Her smile is very beautiful,Barishal 
তোঁয়ার ইক্কা চাই তাক্কি,looking at you,Chittagong
তোমার দিকে তাকায়া আসি,looking at you,Mymensingh
তোয়ার দিকে তাকাই রইছি,looking at you,Noakhali
তুমিতাইন ওর দিকে চাই রইছি,looking at you,Sylhet
মোরে এউক্কা গান হুনাবা?,Will you listen to me a song?,Barishal 
ইবার আসি বউত সুন্দর,Her smile is very beautiful,Chittagong
হের হাসি মেলা সুন্দর,Her smile is very beautiful,Mymensingh
হেতির হাসি মেলা সুন্দর ,Her smile is very beautiful,Noakhali
হের হাসি যে সুন্দর ,Her smile is very beautiful,Sylhet
মোর বিয়া হইছে চাইর বছর,I have been married for four years,Barishal 
আঁরে ওজ্ঞা গান ফুনাইবা?,Will you listen to me a song?,Chittagong
আমারে একটা গান হুনাইবা?,Will you listen to me a song?,Mymensingh
আরে এককান গান হুনাইবা,Will you listen to me a song?,Noakhali
আমারে একখান গান হুনাইবায় নি?,Will you listen to me a song?,Sylhet
একলগে বইয়া খায় ও না,They do not eat together,Barishal 
আর বিয়া অইয়ে চাইর বছর।,I have been married for four years,Chittagong
আমার বিয়া হইসে চাইর বছর,I have been married for four years,Mymensingh
আর বিয়া অইছে চাইর বছর,I have been married for four years,Noakhali
 মোর বিয়া অইছে চাইর বৎসর,I have been married for four years,Sylhet
এক কালে যাইয়া যদি কয় যে ধইররা থুইলেই তো পারতা,"At one time, if he said that he could hold on",Barishal 
এখত্রে বয়ইনে নো খাই,They do not eat together,Chittagong
একলগে বয়া খায় ও না,They do not eat together,Mymensingh
একলগে বই খায় ও না,They do not eat together,Noakhali
এখলগে বইয়া খাইনও না,They do not eat together,Sylhet
মুই চাইলেই মোর বাফের বাড়ি চইললা যাইতে পারি,I can go to my father's house whenever I want,Barishal 
আই বহুত চিন্তায় ফরি গিয়ি আই কিত্তাম,I'm in a lot of trouble what to do,Chittagong
আমি মেলা চিন্তার মধ্যে পইড়া গেসি আমি কিতা করবাম,I'm in a lot of trouble what to do,Mymensingh
আই অনেক চিন্তার মইধ্যে হড়ি গেছি আই কি কইরগুম,I'm in a lot of trouble what to do,Noakhali
আমি বাক্কা চিন্তার মাঝে পড়ি গেছি আমি কিতা খরতাম,I'm in a lot of trouble what to do,Sylhet
কেউ মোর মায়রে কইয়া দেও মুই বিয়া করমু,Someone tell my mother I will get married,Barishal 
যিবা ওইয়ে ওয় গিয়োয় তুয়ার হতাই নো মানিলে আরোর দোষ,Whatever happened is our fault,Chittagong
যা হইসে হয়া গেসে তোমার কথাই মানলাম আমরার দোষ,Whatever happened is our fault,Mymensingh
যা অইছে অই গেছে তোয়ার কথাই মাইনলাম আঙ্গো দোষ ,Whatever happened is our fault,Noakhali
যেতা অউয়ার অই গেছে তুমার খতাউ মানলাম আমরার দুষ,Whatever happened is our fault,Sylhet
মোর লগে নাচবা?,dance with me,Barishal 
হনিকাই আঁর মারে হইদিও আঁই বিয়া গইরগম,Someone tell my mother I will get married,Chittagong
কেউ আমার মারে কয়া দিও আমি বিয়া করবাম,Someone tell my mother I will get married,Mymensingh
কেউ আর মারে কই দিও আই বিয়া করুম,Someone tell my mother I will get married,Noakhali
খেউ মোর  আম্মারে কইয়া দিওছাইন মুই বিয়া খরতাম,Someone tell my mother I will get married,Sylhet
পোরথোমবার ঠগার পর এউক্কা ডর ঢুইক্কা গ্যাল্লেহ ভিতরে,"After the first time, a fear entered inside",Barishal 
আঁর ফোয়ারে নাচিবা নে?,dance with me,Chittagong
আমার সাথে নাচবা?,dance with me,Mymensingh
আর লগে নাইচবা?,dance with me,Noakhali
আমার লগে নাচবায় নি?,dance with me,Sylhet
"আইজ গরীব দেইখ্যা পিরথিবিতে থাহি, বড়লোক হইলে মঙ্গল গ্রহে থাকতাম","Today I live on earth as a poor person, if I were rich I would live on Mars",Barishal 
আই ঠিকি হইয়ি,I said right,Chittagong
আমি  ঠিকই কইতাসি,I said right,Mymensingh
আই ঠিকই কইছি,I said right,Noakhali
আমি ঠিক ওউ কইছি,I said right,Sylhet
মোর ঠ্যাঙ্গে ব্যাথা করতেয়াছে,My feet hurt,Barishal 
"আয গরিব বলি পিতিবিত তাকি , ডরমানুষ অইলে মঙগল গ্রহত তাকিতাম","Today I live on earth as a poor person, if I were rich I would live on Mars",Chittagong
"আজ গরিব বইল্লা পৃথিবীতে থাকি, বড়লোক হইলে মঙ্গল গ্রহে থাকতাম","Today I live on earth as a poor person, if I were rich I would live on Mars",Mymensingh
আইজ গরিব দেই পৃথিবীত থাই বড়লোক অইলে মঙ্গল গ্রহে থাইকতাম,"Today I live on earth as a poor person, if I were rich I would live on Mars",Noakhali
" আজকে গরীব দেকিয়া পৃথিবীত থাকিয়ার, ধনী অইলে মঙ্গল গ্রহত থাকতাম","Today I live on earth as a poor person, if I were rich I would live on Mars",Sylhet
তুমি কম কতা কও,You speak little,Barishal 
আর ট্যাং টনটন গরের,My feet hurt,Chittagong
আমার পা ব্যাথা করতাসে,My feet hurt,Mymensingh
আর পা ব্যাথা কইরতেছে,My feet hurt,Noakhali
আমার ফা-ও বেদনা করের,My feet hurt,Sylhet
মোর বিয়ায় দাওয়াত রইলে,I was invited to my wedding,Barishal 
তুঁই অল্ফ মাতো,You speak little,Chittagong
তুমি অল্প কথা কও,You speak little,Mymensingh
তুউই কম কতা কও,You speak little,Noakhali
তুমিতাইন কম মাতো,You speak little,Sylhet
অন্য কোনহানে বিয়া কইররা ভালো থাকবা হেইয়া ক্যামনে হয়,How about getting married somewhere else?,Barishal 
আঁর বিয়াত দাওয়াত তাকিলো,I was invited to my wedding,Chittagong
আমার বিয়াতে দাওয়াত রইলো,I was invited to my wedding,Mymensingh
আর বিয়াত দাওয়ার থাইকল,I was invited to my wedding,Noakhali
আমার বিয়াত দাওয়াত রইলো ,I was invited to my wedding,Sylhet
আমনেরা আগে যান,You go first,Barishal 
ইতে এহন নিজোর মুখোত কইয়েরে তুয়ার লাই আবার বেজ্ঞুন টীক কইজ্জে,He now says in his own mouth that he is fixing everything with you again,Chittagong
হেয় এহন নিজে মুহেই কয় তোমার লগে আবার ও সব ঠিক করসি,He now says in his own mouth that he is fixing everything with you again,Mymensingh
হে অন নিজের মুখেই কয় তোয়ার লগে আবার ও বেগগিন ঠিক কইরছি,He now says in his own mouth that he is fixing everything with you again,Noakhali
হে এখন নিজোর মুখেউ কয় তুমার লগে আরখবার হখলতা ঠিক করিয়ার ,He now says in his own mouth that he is fixing everything with you again,Sylhet
পোরথোম দিক মুই খারাপ ব্যবহার করতাম,At first I used to misbehave,Barishal 
ওনোরা আগে জো,You go first,Chittagong
আফনেরা আগে যান,You go first,Mymensingh
আন্নেরা আগে দি যান,You go first,Noakhali
আফনারা আগে যাউকা,You go first,Sylhet
হ্যায় যেমনে মোরে আশা করছে মুই নিজেরে হেমনেই সামনে আনছি,I present myself as he expects me to be,Barishal 
