Standard_Bangla,English_translation
সাবাস তোমরাই পারবে,"Well done, you can do it!"
আল্লাহ তুমি আর কত ধৈর্য্য ধরবা। তুমি কত টা ধৈর্য্যশীল তা তো আমরা জানি।,"Oh Allah, how much longer will You have patience? We know how patient You are."
ছিঃ ছিঃ ছিঃ এমন মিথ্যাচার কেউ মেনে নিবে না,"Shame, shame, shame! No one will accept such lies."
সারা বছর পড়লো ছাত্রলীগ পরীক্ষায় আসলো বিএনপি-জামআত,"The Chhatra League studied all year, and the BNP-Jamaat showed up for the exam."
পাবলিক হাসবে না কাঁদবে বুঝতে পারছে না,The public doesn't know whether to laugh or cry.
"সময় নষ্ট করে কি লাভ?
সহজ সমাধান তো এটাই।
বাহ বাংলাদেশের আইন বিভাগ বাহ...","What's the point of wasting time?
This is the simple solution, after all.
Wow, the legal department of Bangladesh... wow..."
এতো নাটক করার দরকার ছিল কি?,Was all this drama really necessary?
"এ আর নতুন কি, সবাই তো জানে মামলা কাদের নামে হবে",What's new? Everyone already knows whose names the cases will be filed against.
কি রম্য রসের দেশে বাস করি রে ভাই......,"Oh, what a delightful land of humor I live in, brother..."
"প্রশাসনলীগের জয় হোক, জয় বাংলা।","Long live the Awami League, Victory to Bangladesh."
পুলিশ তার ব্যর্থতার দায়ভার থেকে একদম পরিত্রণ।,The police are completely absolved of responsibility for the failure.
বিএনপির নেতা কর্মীর বিরুদ্ধে মামলা দেয়ার অর্থই হলো নিউমার্কেটের বিএনপির নেতাকর্মীর দোকানগুলো আওয়ামীদের কব্জায় নেয়া।,Filing cases against BNP leaders and activists means seizing the shops of BNP activists in New Market by the Awami League members.
এটা আর নতুন কি,What's new?
এটা তো মুখস্থ করা গল্প,This is just a memorized story.
এটার অপেক্ষা করেছিলাম। ধন্যবাদ বাংলাদেশ পুলিশ কে সেই সাথে ধন্যবাদ জানাই এই সরকারের সকলকে,"I was waiting for this. Thank you to the Bangladesh Police, and I also thank everyone in this government."
আমরা মোটেও বিচলিত নই,We are not at all worried.
"এখনো কপাল ভালো 
তারেক জিয়া হুকুমের আসামি হয় নাই।
তারপরও চিন্তায় আছি।","Thankfully, Tareq Zia hasn't been named as an accused under any court order yet. Still, I'm worried."
রোজা রমজানের দিন।সামনে ঈদ। তদন্ত করার সময় নাই।বর্তমানে সব কিছুতেই অটো,"It's the day of Ramadan fasting. Eid is approaching. There's no time for investigations right now. Currently, everything is automated."
এটাই আমাদের দেশ।,This is our country.
এইডাও তাইলে বিএনপির ষড়যন্ত্র???,"So, is this also a conspiracy by the BNP???"
ছাত্র দলের নাম ভুলে গেছে মনে হয়,It seems like he/she has forgotten the name of the student group.
আগেই জানতাম,I knew it already.
"রমজানের মাস তাই আর বকা দিতে পারলাম না।।
এমন কিছু একটা হবে আমি জানতাম।।।","It was the month of Ramadan, so I couldn't scold him. I knew something like this would happen."
সাববাস ভাতিজা।,Hello nephew.
এটা তো আওয়ামী লীগের পুরানো আভ্যাস।কাম করলো গুন্ডালিগ আর দোষ বানালো বিনপি,This is an old habit of the Awami League. They do thuggery and then blame the BNP.
এটাই এখন নির্মম বাস্তবতা,This is the harsh reality now.
বাংলাদেশে জন্ম না হলে বিনোদন কত প্রকার ও কি কি তা বোঝা যেত না।,"Without being born in Bangladesh, one wouldn't understand the different types and forms of entertainment here."
এটা জাতি আগেই জানত নতুন কিছু না,The nation already knew this wasn't anything new.
"আগেই জানতাম বিষয়টা এরকমি হবে,আর কতো",I knew it would turn out like this. How much more?
এরা মনে হয় আর ক্ষমতা ছাড়বেনা,It seems they have no intention of relinquishing power.
কোকো রহমান কেও আসামি করলে একেবারে অবাক হতো না জনগন,The public wouldn't have been surprised at all if Coco Rahman was also made an accused.
খাই দাড়িওয়ালা দোষ হয় গোফওয়ালার। অপরাধীরা একারনেই ধরা ছোয়ার বাইরে থাকে।,"The bearded one gets the blame, but it's the one with the mustache who's guilty. Criminals remain beyond reach for this very reason."
তারেক রহমানকে দেখা যায় নাই,Tareq Rahman could not be found.
এ আর নতুন কি আগেই জানা ছিল এরুপ কিছু হবে।। বর্তমানে দেশে বিএনপির লোক বেশী। যা কিছু ঘটছে সব যায়গায় বিএনপি।।,"There's nothing new, it was known beforehand that something like this would happen. Currently, there are many BNP members in the country. Whatever is happening, it's the BNP everywhere."
১নং আসামী খালেদা জিয়া কে করলেই তো হয়,"Why not just do it to the first accused, Khaleda Zia?"
জাতি জানতো এটা বিএনপির কাজ।,Everyone knew this was the work of the BNP.
রমজান মাসের কারনে শয়তান নিজের দায়িত্ব বাংলাদেশ পুলিশ কে বুঝিয়েদিয়ে গেছে ।,"Due to the month of Ramadan, the devils have handed over their responsibilities to the Bangladesh Police."
এটা নতুন করে বলার কি আছে!! আমরা অনেক আগে থেকেই জানতাম এই ঘটনার শেষ পরিনতি হবে রাজনৈতিক পরিচয়।,What is there to say anew!! We had known all along that the ultimate outcome of this event would be political.
ডাক্তার হাসান মাহমুদ তখন তো কিছু বলি নাই উনি নিশ্চয়ই বলবো তারেক রহমানের ইশারায় সব হয়েছে।,"Dr. Hasan Mahmud didn't say anything then, but he will definitely say everything happened at the behest of Tareq Rahman."
তারেক রহমানকে আসামী করলেই তো হয়!!,"Just arrest Tareque Rahman, that's all!!"
"সরকারের নাটক মানুষ বোঝে ,মানুষ এখন ফিডার খায় না","People understand the government's theatrics, and people are no longer being fed lies."
পারেতো ওই একটাই কাজ....,That's pretty much the only thing left to do....
"হ্যা সহমত, তারেক রহমান সাহেবের স্ত্রীর নামেও মামলাটা দেওয়া যায়, স্যার।","Yes, I agree, sir. A case can also be filed in the name of Mr. Tareq Rahman's wife."
পঙ্গু প্রশাসন থেকে আর কি আশা করা যায়,What else can one expect from a crippled administration?
এরা যে কোন লেভেলের পুলিশ আল্লাহই ভালো যানে।,Only Allah knows what level of police these are.
উক্ত ঘটনায় নিহত নাহিদের বাবার বিচার না পাওয়ার আশঙ্কা বাস্তবতায় রূপ নিল।,The fear of Nahid's father not getting justice for the incident has become a reality.
পুলিশ ভালো করেই জানে যে কিভাবে মামলা সাজালে সরকারের উপরমহল খুশি হবে আর নিজেদের ব্যার্থতা ঢেকে যাবে।,The police know very well how to frame a case in a way that pleases the higher-ups in the government and covers up their own failures.
তোমাদের সাক্ষ্য প্রমাণ আমাদের জানা আছে ।,We are aware of your evidence.
খুবই হতাশ হলাম জামাত শিবিরের নাম নাই তাই,I am very disappointed that the name of Jamaat-e-Islami is not mentioned.
"পৃথিবীর যত ভাল অর্জন সবটা আমার,
যত আছে মন্দ সবটাই তার।","All the good things in the world are mine,
All the bad things belong to him."
"উনাদের চশমা এমন এক চশমা, ইহা দিয়া বিএনপি- জামাত ছাড়া কিছুই দেখা যায়না।",Their glasses are such that one can only see the BNP-Jamaat through them; they see nothing else.
এখানে বি এন পির নেতারা আসামি হবে দেশবাসীর আগে থেকেই জানা ছিলো,It was known to the people of the country beforehand that the BNP leaders would be accused.
ওরা নিশ্চিত গু খাইয়া বড় হয়েছে,They definitely grew up eating good food.
আমি মাননীয় তথ্যমন্ত্রীর তথ্যের ব্রিফিং এর অপেক্ষায় আছি। কবে শুনাবেন উনার বানী,I am waiting for the information minister's briefing. When will we hear his speech?
আমার মনে হচ্ছে শহীদ প্রেসিডেন্ট জিয়াউর রহমান এর সঙ্গে জড়িত আছেন।,I think he is involved with the martyred President Ziaur Rahman.
অবাক হতে হতে আর অবাক হতে মন চায় না,I'm so astonished that I no longer feel the desire to be surprised.
দোকান ভাড়া দেয়াও আজকাল অপরাধ?,Is renting out a shop a crime these days?
এই সংবাদের জন্য ই অপেক্ষায় ছিলাম,I was waiting for this news.
দলকানা পুলিশদের রুহের মাগফিরাত কামনা করছি।,I pray for the forgiveness of the souls of the deceased police officers.
এইটা নতুন কিছুই না,This is nothing new.
খালেদা জিয়া জীবিত থাকতে অন্য কাউকে আসামি করার কোন মানেই হয়না।,There's no point in implicating anyone else while Khaleda Zia is still alive.
ফখরুল সাহেব বেচে গেছেন,Mr. Fakhrul has survived.
ব্যবসায়ীরা মামলা করলে প্রথম আসামীর নামটা যেন ঢাকা কলেজ ছাত্রদলের সভাপতির থাকে।,"If the businessmen file a case, the first accused's name should be that of the president of Dhaka College Students' Union."
জামাত শিবিরো এই ঘটনায় জড়িত।,Jamaat-e-Islami's student wing is involved in this incident.
"আ'লীগ ইচ্ছে করেই এই ঘটনা গুলো করে, বিএনপির নামে মামলা দেওয়ার জন্য",Awami League intentionally orchestrates these incidents to create grounds for filing cases against the BNP.
আমি খুব আশ্চার্য হইছি কারন নিউজ টা অনেক দেরিতে হইছে,I am very surprised because the news came very late.
রাজনৈতিক রং লাগিয়ে আসল আসামিদের নিরাপদে থাকার ব্যাবস্থা করা হয়ে গেছে।,The real accused have been safely sheltered by using political influence/coloring.
হায় হায় এতো দেরি হলো কেন এই রিপোর্টটা প্রকাশ করতে??যেই কর্মকর্তা এই রিপোর্ট দেরি করে প্রকাশ করছে তাকে বহিষ্কার করা হোক।,"Oh dear, why was there such a delay in publishing this report?? The officer who is delaying the publication of this report should be dismissed."
মির্জা ফখরুলকে আসামী করে নাই?,Wasn't Mirza Fakhrul named as an accused?
আপনাদের কৌতুক অভিনয় আমরা ভালোই উপভোগ করি,We really enjoy your comedic performances.
এখানে বি এন পি জামাত ও হেফাজত জড়িত আছে। বাণীতে নাম কমু না,BNP Jamaat and Hefazat are involved here. I won't name names in public.
রচনা যে বিষয়ের উপর আসুক না কেন ঘুরে ফিরে কুমির আসবেই,"No matter what the topic of the essay is, the crocodile will inevitably appear."
"২ নাম্বার আসামি সালাউদ্দিন কাদের চৌউদুরির নাম ও আসতে পারে,অপেক্ষায় রইলাম","The name of the 2nd accused, Salauddin Quader Chowdhury, might also come up. I remain in anticipation."
জামাত শি‌বির কি দোষ করল? ও‌দের নাম ও হান্দাইয়া দেন ।,What wrong did Jamaat-e-Islami do? Name them and expose their misdeeds.
"জাতি আজ ধন্য, পুলিশের সাহসি ভূমিকার জন্য।","The nation is fortunate today, due to the courageous role of the police."
"চমৎকার মন্তব্য!
শুধু এইসবই না, নানা কারণে আওয়ামিলীগ এর প্রতি আওয়ামিলীগ এর সমথর্নকারিরাই বিরক্ত।","Excellent comment! Not only these things, but supporters of Awami League are also frustrated with Awami League for various reasons."
সব বিএনপি জামায়াতের দোষ,All the faults are of BNP Jamaat.
এইতো এখন ঠিক আছে,"Okay, everything is alright now."
"এখানে খালেদা জিয়ার ও হাত থাকতে পারে,তারেক রহমানের ইন্ধন আছে কিনা খতিয়ে দেখা দরকার... কাউয়া কাদের",Khaleda Zia may also be involved; it is necessary to investigate whether Tareque Rahman is providing instigation... Who are the crows (a metaphorical reference to those involved)? 
এইসব কারণে উন্নয়ন সত্যেও গ্রহণযোগ্যতাা হারায় সরকার।।,"Due to these reasons, the government loses acceptance despite development."
"খেলা চলছে চলবে, ইনিংস পরিবর্তন এর অপেক্ষায়।পই পই করে হিসাব আদায় করা হবে","The game is ongoing and will continue, awaiting an innings change. Every detail will be settled meticulously."
এ জন্যেই যতক্ষণ না পর্যন্ত সংঘর্ষের মধ্যে বিএনপির থাকার গন্ধ না পাইছে ততক্ষণ পর্যন্ত পুলিশ কোনো একশনে যাইনি।,That is why the police did not take any action until they smelled the presence of the BNP in the conflict.
পুলিশের কি ট্যালেন্ট ঘটনা স্থলে না গিয়ে ও তারা আসামি চিহ্নিত করতে পারে,Can the police identify the accused without going to the scene of the incident? / Is it possible for the police to identify the accused without visiting the crime scene?
এমনটাই হবে এটা জানা কথা!!,This is what was expected!!
মির্জা ফখরুল ইসলাম আলমগীর সাহেব কে ০১ নং আসামি করলে ভালো হতো.....,It would have been better to make Mirza Fakhrul Islam Alamgir the first accused/defendant...
দেশবাসী আগে থেকে জানে কে হবে ১ নাম্বার আসামি,The nation already knows who the number one suspect will be.
"গোয়েন্দারা এত দ্রুত তথ্য পেয়ে গেল?
সাবাস!","Did the detectives get the information so quickly? 
Excellent!"
"অনেক দেরি হয়ে গেছে, মাশাল্লাহ খুশির খবর।","It's very late, Alhamdulillah, what wonderful news!"
সিনেমার পরে আবার নাটকের সুচনা হতে যাচ্ছে,"After cinema, the beginning of theatre is about to start again."
নিউমার্কেটের এ ঘটনায় নাটকীয়ভাবে বিএনপিকে জড়িত করা হবে জাতি এটা দেখার অপেক্ষায় ছিলো।,The nation was waiting to see if the BNP would be dramatically implicated in the New Market incident.
ফালতু রাজনীতির দেশ হলে যাহা হয়,This is what happens in a country of pointless politics.
"সকল জল্পনা কল্পনার অবসান ঘটিয়ে গোয়েন্দা বিভাগ প্রমান করলো, বিএনপি একটিভ আছে এবং সরকারের জন্য বড় রকমের হুমকি।","Ending all speculation, the detective department has proven that the BNP is active and poses a significant threat to the government."
প্যারাসিটামল তিন বেলা,Take paracetamol three times a day.
ডিম পাড়ে হাসে খায় বাগডাসে।,Ducks lay eggs and eat in Bagda.
এইসব তামাশার কারণে প্রকৃত অপরাধীরা পার পেয়ে যাচ্ছে যার কারণে নিহতের পরিবার এখন বিচার চায় না!,"Because of these farces, the real criminals are getting away with it, which is why the families of the victims no longer want justice!"
ফাইজলামির ও সীমা থাকা উচিত!! বিএনপি নেতার নামে দিছেন। নূরুল হক নূরু কি দোষ করছে ওর নাম বাদ পড়ল কেন??,There should be a limit to joking and excess!! It's been done in the name of a BNP leader. What wrong did Nurul Haq Nuru do that his name was left out??
কপাল ভালো তারেক জিয়ার নাম দেয় নাই,"Luckily, Tareq Zia didn't name him/her."
"হিরক রাজার দেশ আমার।
এখানে যার হাতে ক্ষমতা সে তার ইচ্ছা মত সব কিছুকরতে পারে!!","This is the land of the Diamond King. Here, whoever holds the power can do whatever they wish!"
সত্যি বলতেছি এখন আর এই সব ঘটনা দেখে মুটেও অবাক হইনা... এই সরকারের দারা সবি সম্ভব,"To be honest, I'm not surprised at all by these events anymore... Everything is possible with this government."
মানুষ নাটক দেখতে দেখতে পুরনো হয়ে গেছে।,People have grown old watching plays.
এ জায়গায় ও রাজনৈতিক বিতর্ক প্রতিযোগিতা,There is also political debate here.
এই গাজাখুরি গল্প মেন্টাল রা বলে মেন্টাল রা লিখে।উপরে বসে থাকা এক দল মানুষ ভাবে দেশের জনগন অন্ধ আর নির্বোধ!,"This nonsensical story is written by mentally unstable people, calling them mentally unstable. A group of people sitting at the top think the people of the country are blind and foolish!"
লে হালুয়া যত দোস ননদো ঘোষ,"Lelu Halua, as much as Dos, Nondo Ghosh."
সিনেমা আর সিনেমা,Cinema and cinema.
মোর ঘুরিয়ে দিছে!,He/She/It has turned me around! / I have been turned around! / I'm being misled!
"এটা তো আগে থেকেই জানতাম...
এখন শুধু ঘোষণা টা দিলেন",I already knew this... Now you just made the announcement.
"এই নিউজটাই দেখার জন্য মারামারির দিন থেকে ফোন হাতে নিয়ে বসে আছি।
যাই হোক আমাদের পুলিশদের তদন্ত ১০০% নির্ভুল। জয় বাংলা...","I've been sitting with my phone in hand since the day of the fight, just to watch this news. Anyway, our police investigation is 100% accurate. Joy Bangla..."
এটার থেকে আজকের বিনোদন আর কি হতে পারে,What better entertainment could there be than this today?
সামনে ঈদ। ঈদের পরেই.......। অতএব ব্যাপারটা এমনই হবে।,"Eid is coming up. Right after Eid... Therefore, that's how it will be."
বাংলাদেশের বিচার ব্যবস্থার মান কোথায় চলে গেছে ছি।,Where has the standard of the judicial system of Bangladesh gone?
চলিতেছে সার্কাস,The circus is ongoing.
"নিউমার্কেটের ব্যাবসায়ীদের পক্ষ নিয়ে পুলিশ ছাত্রদের উপর গুলি চালালো।
এখন আবার ব্যাবসায়ীদের মধ্য বিএনপি কই যারা আছে তাদের আসামি করলো।
বাহ সুদির ভাই বাহ।","Police opened fire on students in support of the New Market traders. Now, they are arresting BNP members who are among the traders. Well done, Sudir bhai, well done."
এই ছিলো তাইলে মনে?,"So, this was on your mind?"
"আশা করি এবার সঠিক বিচার পাবে উভয় পক্ষ,
স্যালুট প্রশাসন","I hope both sides will get justice this time, salute to the administration."
ধন্যবাদ পুলিশ কর্মকর্তাকে ধন্যবাদ সাংবাদিককে এত বড় অনুসন্ধান করার কারণে,Thank you to the police officer for thanking the journalist for conducting such a large investigation.
"তদন্ত ফদন্তের ঝক্কি ঝামেলা নেয়ার চেয়ে এটা সুন্দর উদ্যোগ, ঢাকা শহরের ছাত্রদলের ১০/২০ জনের নাম ও থাকলেই হবে ! এতে হাসু আপা খোশ প্রমোশন পাক্কা",Dealing with the hassle of investigations and inquiries is a headache; this is a much better initiative. Just getting the names and addresses of 10/20 student leaders from Dhaka city will suffice! This will ensure a smooth promotion for Hasu Apa.
"বিএনপির বিরুদ্ধে এ্যাকশন নেয়া খুব সহজ, কেউ প্রতিবাদ করবে না।","Taking action against the BNP is very easy, no one will protest."
আল্লাহ আপনি ওদের হেদায়েত দান না করে ধংস করেদিন আমিন,"O Allah, if you do not guide them, then destroy them, Amen."
"মাশা-আল্লাহ..
ন্যায়বিচার প্রতিষ্ঠা হলো",Masha-Allah.. Justice has been established.
"সুবহানাল্লাহ, আমাদের দেশের গোয়েন্দা সংস্থা এত বুদ্ধিমান যে সকল দেশের গোয়েন্দা বাহিনী কে ফেল মারবে, তাদেরকে জো বাইডেনের পক্ষ থেকে পেলাসটিক ফুলের অবিননদন","Subhanallah, our country's intelligence agency is so intelligent that it will outperform the intelligence agencies of all countries, and they will receive plastic flowers as a gift from Joe Biden."
"তদন্তের ঝামেলা নেয়ার চেয়ে এটাই সুন্দর উদ্যোগ, ঢাকা কলেজ ছাত্রদলের ২/৪ জনের নাম থাকলে আরো ভালো হতোহাস্যকর পু... কর্মকাণ্ড! এজন্যই এ দেশে কেউ সন্তান বা স্বামী হারালেও এখন আর বিচার চায়না, বলে এদেশে বিচার নেই। আল্লাহ্ একদিন বিচার করবে।","It's a better initiative than getting involved in the hassle of investigations. It would have been even better if the names of 2-4 students from Dhaka College Student League were included. What a ridiculous operation! This is why people in this country don't seek justice even after losing children or spouses, they say there is no justice in this country. Allah will judge one day."
জিয়াউর রহমান কে আসামী করার জোর দাবি জানাচ্ছি বাংলাদেশ পুলিশকে,"We strongly demand that Ziaur Rahman be named as an accused, and we are requesting the Bangladesh Police to do so."
"আমার মনে হয় এই সরকার বিএনপিকে টিকিয়ে রেখেছে নিজেদের দোষ এদের ঘাড়ে চাপানোর জন্য, না হয় এতদিন বিএনপিকে ভেনিস করে দিত।","I think this government is keeping the BNP afloat in order to blame them for their own failures, otherwise they would have eliminated the BNP long ago."
নাসিরউদ্দিন পিন্টু কে ১ নাম্বার আসামি করার জোর দাবি জানাচ্ছি,I strongly demand that Nasiruddin Pintu be named as the prime suspect (or accused number 1).
ঘটনা আগের জানা ছিল,The event was known beforehand.
"এটাই হবার কথা ছিলো!
কোনো কোনো ছাত্র নামক বাদাইম্মা বলছিলো এখানে রাজনীতি ছিলোনা,এটা ছিলো সাধারণ জনগণের পক্ষে ছাত্রদের আন্দোলন। অথচ স্পষ্ট ভাবে বোঝা যাচ্ছে সব রাজনৈতিক খেলা।পুরো ঘটনার সাথে ছাত্রলীগ জড়িত হলেও মামলার প্রধান আসামি ছাত্রদলের নেতা!","This is exactly what was supposed to happen! Some students, rather foolishly, were claiming there was no politics involved here, that it was simply a student movement on behalf of the general public. Yet, it's clearly visible that it's all a political game. Although the entire incident involves the Chhatra League, the main accused in the case is a leader of the Jatiyatabadi Chhatra Dal (student wing of BNP)! "
আর কতো দমন নির্যাতন চালাবে- একদিন সব পাপের বিচার হবে এই দেশে।,"How much more oppression and torture will you inflict? One day, all sins will be judged in this country."
সরকার ও আইনশৃঙ্খলা বাহিনীর প্রতি থুথু নিক্ষেপ করছি।আইনশৃঙ্খলা বাহিনীর প্রতি সাধারণ মানুষের জুতাবৃষ্টি এবং পঁচা দুর্গন্ধযুক্ত ডিম নিক্ষেপ শুরু করা উচিত।উন্নত দেশে প্রেসিডেন্টের গালে চড় মারারও নজির রয়েছে।,"I am spitting on the government and law enforcement agencies. The general public should start throwing shoes and rotten, stinking eggs at law enforcement. There are precedents in developed countries of even slapping the President's face."
"জনগন মুখে কাঁপড় দিয়া হাসে, কারন বিএনপির নেতা এক নম্বর আসামি তাই।","People are laughing behind their hands, because the BNP leader is the number one accused."
হুকুমের আসামি হিসেবে খালেদা জিয়া এবং তারেক রহমানকেও আসামি করার জোর দাবি জানাচ্ছি,We strongly demand that Khaleda Zia and Tareq Rahman also be named as accused in the case.
তারেক রহমান কে প্রধান আসামি করার জন্য জোর দাবি জানাচ্ছি,I strongly demand that Tareq Rahman be named as the prime suspect.
"উদোর পিন্ডি বুদোর ঘাড়ে।
এটা সব সম্ভবের দেশ, এখানে সবই সম্ভব।","The burden of the belly falls on the neck. This is a land of possibilities, where anything is possible."
"এই রমজান মাসেও কি মিথ্যাচার বন্ধ করবে না,,",Will the lying not stop even in this Ramadan?
এরা শুধু গনতন্ত্র নয় দেশটাকে ধ্বংস করে দিচ্ছে।,"They are not just destroying democracy, they are destroying the country."
মুই কয় নাম্বার আসামি,I am accused number what?
"বাংলাদেশে এটাতো নতুন কিছু না তাতে কি হয়েছে, এগিয়ে যাও বাংলাদেশ আওয়ামীলীগ যুবলীগ ছাএ লীগ","This is nothing new in Bangladesh, so what? Move forward, Bangladesh Awami League, Jubo League, Chhatra League."
"কোন দেশে আমরা বাস করছি?
সরকার মরনের আগে মরণকামড় দিবে এটাই বাস্তবতা।
আমি আশারাখি আপনার এ পোস্টের মন্তব্য গুলো প্রধানমন্ত্রীকে জরুরী ভিত্তিতে দেখানো হবে।","What country do we live in?
The reality is the government will give a death bite before death. I hope the comments on this post will be shown to the Prime Minister urgently."
"বিরোধীদলকে ফাঁসানো এটা আওয়ামী লীগের ঐতিহ্যগত ইতিহাস, এই থেকে আওয়ামী লীগ বের হতে আজ ও পারল না,","Framing the opposition is a traditional practice of the Awami League, and they haven't been able to break away from this history even today."
এইভাবে পৃথিবীর কোন স্বৈরাসাশকই অবৈধ ভাবে ক্ষমতাকে স্থায়ী করতে পারে নাই।,No autocrat in the world has ever been able to permanently solidify power illegally in this way.
"জিয়াউর রহমান ও জরিত হতে পারে
জয় বাংলা","Ziaur Rahman may be involved, and Jarit could also be involved.
Joy Bangla."
এটা নতুন কিছু না,This is nothing new.
এই হলো দেশের আইন-শৃঙ্খলা বাহিনীর অবস্থা রোজা রমজানের মাসে এর চেয়ে বেশি কিছু বলার নেই আল্লাহর গজব তদের উপরে নাযিল হোক,This is the state of the law enforcement agencies of the country during the month of Ramadan. There is nothing more to say. May Allah's wrath descend upon them.
আগেই জানা এমন কিছু সার্কাস হবে,"Something like a circus is going to happen, as previously known."
"এটাই তাহলে আসল কাহিনী
তেলের দাম ২০০","So, this is the real story.
Oil price 200."
দাদা এইটাই বাংলাদেশ,"Grandpa, this is Bangladesh."
এটা সবাই জানে ৭০০ আসামীর মধ্যে বিএনপি+ জামাতে ইসলামির কর্মি দের কে মামলা দেবে,Everyone knows that cases will be filed against the workers of BNP+ Jamaat-e-Islami among the 700 accused.
"এটা নতুন কিছু না তো, এটাই তো চলে আসতেছে বহুবছর ধরে।","This isn't anything new, it's been going on for years."
"অনেক মজা, আর কত নাটক দেখবো।","So much fun, how many more dramas will I watch."
দেশ অর্জুন মুক্ত হবে।,The country will be liberated.
এটা পরিষ্কার আওয়ামী লীগের নতুন নাটক,This is clearly a new drama by the Awami League.
আমার নাম আছে কি না আল্লাহ ভালো জানে,"Whether I have a name, Allah knows best."
আরে ভাই আমেরিকা তোমাদের বিরুদ্ধে নিষেধাজ্ঞা দিয়েছে তোমরা বিএনপি'র পিছনে লেগে কি লাভ হবে মনে করছ। কখনোই না,"Hey, America has imposed sanctions against you, what's the point of clinging to the BNP? Don't you think it will be futile?"
সাদেক হোসেন খোকাকে দিলেও অবাক হতাম না,I wouldn't even be surprised if Sadeq Hossain Khoka had done it.
একদম ঠিক আছে,"Okay, perfectly alright."
"এটা মানি না, এর থেকে জিয়াউর রহমানকে আসামি করলে ভালো হতো কারন উনি এটার মূল হোতা","I don't agree with this. It would have been better to name Ziaur Rahman as an accused, because he was the main perpetrator of this."
আসল আসামি পাওয়াগেছে! আইন এখন বিদ্যুতের গতিতে চলবে!,The real culprit has been found! The law will now move at the speed of lightning!
১ম ও ২য় বিশ্বযুদ্ধের জন্য ও বি এন পি দ্বায়ি।,BNP is responsible for the 1st and 2nd World Wars.
সুন্দর ও সচ্ছ প্রতিবেদন,Beautiful and clear report
অলৌকিক,Miraculous
আগেই জানতাম নতুন কি।,I already knew what was new.
এটা ছাড়া আর কি করতে পারে ওরা,What else could they do?
তাইতো বলি পুলিশ ল একশন নিতে ইতস্তত করতেছে কেন? আচ্ছা আচ্ছা এই তাহলে গল্প? তারেক পুলিশকেও কিনে নিছে?,"That's why I'm wondering why the police are hesitating to take action? So, this is the story? Has Tareq bought off the police too?"
এটা তো পুরাতন নিউজ,This is old news.
"নিউমার্কেট খুলে গেছে... ঈদের পর ঢাকা কলেজও খুলে যাবে। সকল কিছু স্বাভাবিক হয়ে যাবে। শুধু স্বাভাবিক হতে পারবে না মারা যাওয়া দুই ভাইয়ের পরিবার। এ নিয়ে কারো কোন মাথা ব্যথাও থাকবে না।
আল্লাহ সবাইকে হেদায়াত দিক",New Market has reopened... Dhaka College will reopen after Eid. Everything will return to normal. Only the families of the two brothers who died won't be able to return to normal. No one will care about that. May Allah guide everyone.
জামাতের নিহত আহত শহীদ সব নেতাকর্মী বাদ গেলো কেন? সাবেক প্রাইম মিনিস্টার খালেদা জিয়াও হুকুমের আসামি হতে পারতেন।,"Why were all the deceased, injured, and martyred leaders and activists of Jamaat excluded? Former Prime Minister Khaleda Zia could also have been named as an accused."
৬৪ জেলা থেকে ৬৪ জনকে আসামী করলে কেমন হতো,What if we arrested one person from each of the 64 districts?
ওয়াও ওয়াও! চারদিকে ওয়াও না???,Wow wow! Isn't it wow all around???
ঘটনা দিনের আলোর মত পরিষ্কার,The incident is as clear as daylight.
দেশটাতো চলছে রামরাজত্ব না হয় মগের মুল্লুক,The country is either running like a Ram Rajya (an ideal kingdom) or like a land of barbarians.
ভিপি নুর বেঁচে গেছে।,VP Nur has survived.
এটা আওয়ামীলীগের সাজানো নাটক,This is a staged drama by the Awami League.
এটা বিশ্বাস হয়?দুুই দলই জয়বাংলা বলে হামলা করল এখন বাংলাদেশ জিন্দাবাদ,"Is this believable? Both parties attacked while chanting 'Joy Bangla', and now they are chanting 'Bangladesh Zindabad'."
ভাগ্যিস জিয়ার নাম দেয়নি!!,"Luckily, they didn't name him Zia!!"
"এটা আগে থেকেই আমরা সবাই জানি, নতুন করে শুনে লাভ নেই","We all already know this, there's no point in hearing it again."
হাসতে হাসতে হাইগা দিছি!,I was laughing so much I yawned!
তোদেরই দিন দে আরো মামলা দে.... হিসাব দিতে ভুল করলেও মানুষ হিসাব নিতে ভুল করবে না.....হিসাব দিতে তৈরি থাক সময় আর বেশি নাই,"Give more days, file more cases... Even if you forget to settle accounts, people won't forget to take them. Be ready to settle accounts, time is running out."
দেশটা শুয়োর ছাড়া মানুষ কর্তৃক পরিচালিত মনে হচ্ছে না।,It seems like the country is being run by pigs rather than people.
আমি কত নাম্বারে জানলে উপকৃত হতাম,I would have been grateful to know the number.
"বাংলাদেশের স্বাধীনতার ঘোষক, স্বাধীনতা যুদ্ধের সেক্টর কমান্ডার, জেড ফোর্স অধিনায়ক, সাবেক সেনাপ্রধান, সাবেক রাষ্ট্রপতি শহীদ জিয়াউর রহমান (বীর উত্তম)-এর প্রতি শ্রদ্ধা।","Respect to Shahid Ziaur Rahman (Bir Uttom), the Proclaimer of Bangladesh's Independence, Sector Commander of the Liberation War, Commander of Z Force, former Chief of Army Staff, and former President."
