Sentence,English Translation, Labels
একগুয়া কবিতা কও,Say a poem.,Barisal
বইডা পড়ো,Read the book.,Khulna
তুমি কি প্রেযুক্তিতে আগ্রহী,Are you interested in technology?,Barisal
সবার সামনে তোর বাবা কতগুলো কথা বলে গেল,"In front of everyone, your father said many things.",Khulna
আমার কাছে সত্যিডা কও,Tell me the truth.,Khulna
তোমার আ্যাকছের ধৈর্য্য,You are very patient.,Barisal
আমার বাবা মায়ের ভালোবাসা অটুট,My parents' love is unwavering.,Narail
মোরে একটু ভালো হইর্রা হোনেন,Listen to me carefully.,Barisal
তুই কি খাওয়া শেষ করছিস,Have you finished eating?,Rangpur
আজকের দিনটা মেলা ভাল কাটছে,Today is going very well.,Rangpur
ভালবাসি আমাদের রংপুরকে,We love Rangpur.,Khulna
নতুনকিছু শেখো,Learn something new.,Khulna
ফাও প্যচাল পরিস না যা তো এলা,"Don’t make trouble anymore, go now.",Rangpur
মোরে আবার বাদ দেলা ক্যা,Why did you leave me again?,Barisal
বাহ্ ক্যামনে সম্ভাব,Wow! How possible!,Barisal
দয়া করে ফোনটা দিয়ে দিন,Please give me the phone.,Narail
বাবারে আজগে খুব গরম,"oh, today it’s very hot!",Khulna
তোর হাবভাব একেনাও ভাল দেখোচোং না,Your attitude doesn’t look good at all.,Rangpur
মুই একমত,i agree,Barisal
হেইডা ঠিক কথা না,That’s not right.,Khulna
হগলডির লগে ভালো ব্যবহার হরিস,Be kind to everyone.,Barisal
তুই আইজকে কোয়ানে যাবি,Where will you go today?,Narail
তুমি কোম্মে যাইতেছো,where are you going,Barisal
হ্যারা খ্যালতে ভালো পায়,They love to play.,Barisal
এমনডা আর হরবি না,Don't do that again.,Barisal
তর মুখে এইডা এক্কেরে মানায় না,This doesn’t suit your mouth at all!,Khulna
তোর বুদ্ধি সবসময় কাজে লাগে,Your advice is always helpful.,Rangpur
মুই চা চড়ায় চাপায় দিছি,I have poured/served tea.,Narail
মোর দোস্তো মোরে একডা লাল গোলাপ কিন্ন্যা দেছে,My friend bought me a red rose.,Barisal
মুই কিন্ত খাঁটি ওম্পুরিয়া,I am a pure Rangpurian.,Rangpur
দেশের কেম্মা অবস্থা এখন,what is the current state of the country,Narail
তুমি প্রেত্যেকদিন নতুন কিছু হেকছো,You learn something new every day.,Barisal
মোর সাথে সময় কাটাও,Spend time with me.,Narail
তুই সোকসময় পাকাইস,You complicate everything.,Rangpur
দরকার নাগলে মুই হাঁটি হাঁটি অংপুর যাইম তা ও এই বাসোত উঠিম না,"If necessary, I will walk to Rangpur, but I will not take this bus.",Rangpur
কমত মনোযোগ দে,Focus on work.,Rangpur
এখনো তুই ঘুমাসনি,You’re still not asleep?,Khulna
গরুর দুধ এক্কেরে গাঢ়া,The cow’s milk is very thick!,Khulna
তুমি কবে বাড়ি যাচ্ছ,When are you going home?,Narail
আইজগো রাইতের খাওন কি,What's for dinner tonight?,Barisal
তায় ফির মোর হাতের আন্দন– চাটিপুটি খায়,He licks and eats the food I cook again.,Rangpur
আমাগো দেশে অনেক ঐতিহ্যবাহী স্থান আছে,There are many traditional places in our country.,Narail
মোর জন্যে একনা সময় নেন,Take some time for me.,Rangpur
তুমি বেমালা পরিশ্রম হরছো,you work hard,Barisal
বন্ধুদের নিয়ে মজা কর,Have fun with friends.,Rangpur
মুই এই পরিস্থিতি মাইন্না লইতে পারমু না,I cannot accept this situation.,Barisal
পিপিলিকার কয় পা দেহিছো,How many ant legs did you seen ,Narail
আমার কাছে নক দেও,Call me.,Khulna
কোনো শুমাই এল্লা বের হইয়ো না,Never go out alone.,Narail
তোর জন্যে বাচ্ছে আছোং,I’m living for you.,Rangpur
আমি বলো খাটির রংপুরি,I am a true Rangpuri.,Khulna
সে চায়ছিলো পরীক্ষাতে সর্ব্বোচ্চ নম্বর পেতে,He wanted to get the highest score on the exam.,Narail
হায় মুই কোলো রাগুইন্না,Alas! I am angry!,Barisal
আহ শান্তি,Ah! Peace!,Narail
লেহাপড়ায় মনোযোগ দে সামনে পরীক্ষা,"Pay attention to your study, exams are coming up.",Narail
খুশি লাগতাছে আজকে কেন জানো,Don't know why I feel happy today?,Rangpur
তুমি কি নতুন কাজের জন্য পোস্তুত,Are you ready for a new job?,Narail
মোর পিছনে কি,What’s behind me?,Barisal
আমি এই পরিবেশে কাজ করতি পারতি নে,I can’t work in this environment.,Khulna
তাড়াতাড়ি পোস্তুত হ,Get ready quickly.,Rangpur
ওরে বাপো,Awesome!,Rangpur
মোর বাপ খুব ভালো মানুষ,My father is a very good man.,Rangpur
তোমার চিন্তাচেতনা হগলসোমায় ক্লিয়ার,Your thoughts are always clear.,Barisal
এইডা তো খুব বড় সমস্যা,This is a very big problem.,Narail
মোক সাহাইজ্জ কত্তে কি তোমার অসুবিদ্যা হইবে,Would you mind helping me?,Rangpur
এইটা ফুল খুব সুন্দর,This flower is very beautiful.,Rangpur
বা কেমন কুরি করলি,"Wow, how did you do it?",Khulna
তুমি কি কফি পছন্দ হরো,do you like coffee,Barisal
তোমরা ঘরে কিডা কিডা থাকো,Who all are staying at your home?,Narail
সেই পট্টির বান্দন মেল্লাকদিন বাদে হোসকাছলো,The bandage came loose a few days later.,Rangpur
এহন থেইক্কা সাবধানে চলবা,Be careful from now on.,Khulna
আমাদের শহরডা অনেক বড়,Our city is very big.,Khulna
কাজটা ঠিক করি কর,Do the job properly.,Rangpur
হালকা গরম পানি নি এইসো,Bring some warm water.,Khulna
তোমরা যা কইমেন তাই শুনিম,I will listen to what you have to say.,Rangpur
আমারে ফোন অরো,Call me.,Narail
তোমরা কখন আইসবেন,When will you come?,Rangpur
কি ভালো হাসি,What a nice smile!,Khulna
তোর কথায় কান্দি পাইতাছি,I am getting hurt by your words!,Rangpur
তোর ব ই কোই,Who is your book?,Narail
তুই খুব হাসিখুশি একনা মানুষ,You are a very cheerful person.,Rangpur
ভাই তাড়াতাড়ি আহ দেরি হইতাছে,"Brother, come quickly, we’re getting late.",Khulna
সবজিগুলো অনেক টাটকা লাগছে,The vegetables look very fresh.,Narail
এহন খাওন খাও,Now eat food.,Barisal
ভাত খালু,Did you eat rice?,Rangpur
সে সব সুময় হাসীমুখী থাকে,He always keeps a smiling face.,Khulna
সে খুব হাসিখুশী মেই,She is very cheerful.,Khulna
তারপর দোরটা নবীন খুলে দিলো,Then Naveen opened the door.,Narail
তোমার বাসা কোয়ানে,Where is your home?,Narail
তুমি কি গাড়িউগ্গা চালাইতে পারবা,can you drive a car,Barisal
কাটলের বিচি ভত্তা খোয়াইমেন,Will you treat me to some jackfruit seed mash,Rangpur
রনি আজ মাঠে আইবো না,Ronnie won't be on the field today.,Narail
কোটে যাইস মুই কোটে জাং তা জাং,"Where are you going? Wherever you go, I’m going too",Rangpur
সে প্রতিদিন সুকালে হাটে,She goes to the market early every day.,Khulna
খেলবি নাহি মোর মাইয়ার লগে,"O Allah, my body is burning with fever.",Barisal
কোটে গেলুরে বাউ,"Where did you go, dear",Rangpur
মাঝত মাঝত আও করমো,I will talk sometimes.,Rangpur
হেয় পরের মাসে বিদেশ চইল্যা যাইবে,Next month I’ll go abroad.,Barisal
এইখান জাগা চিনা চিনা নাগেছে,This place looks familiar.,Rangpur
গাছোত দ্যাখ ক্যানে বড্ড একটা কাটোল দেখা যায়ছে পারে দে ক্যানে,Look! There's a big jackfruit hanging on the tree. Go pick it!,Rangpur
একটু সাবধান হ,Be careful.,Barisal
অল্প সময়ের জন্যি জিরোই নেও,Take a little break.,Khulna
ভারাখোরা লা মানজিবার নাগে,The pots and pans need to be cleaned.,Rangpur
এটি ব্যাবসায়িকভাব অল্প সফলতা লাভ করে,It was a minor commercial success.,Narail
তোর হীন মেলা সাহস,Your confidence is very strong.,Rangpur
তোমার গুলার জন্যোও দোয়া থাকিল,Prayers are also for your sake.,Rangpur
খাওন খাইতে গেছে,He went to eat.,Barisal
সবাইর ডাক,call Everyone,Khulna
কলেজ পর্যবেক্ষণ করেছিলো,The college observed,Narail
এইডা তুমি নিজির জন্যি করো,Do this for yourself.,Khulna
তুমি হগলের লগে ভালো বাইলে ব্যবহার হরো,You treat everyone very well.,Barisal
তুমি কি মোর কতায় রাগ হরছো,Are you angry with my words?,Barisal
তাপালিং,Letter.,Rangpur
মুই এলা যাইম,I will go now.,Rangpur
আমরা একসঙ্গে কাজ করি,We work together.,Khulna
হে আ্যাকছের ভালা পোলা,He is a very good boy.,Barisal
দেশবাসী হ্যাগোর আনন্দ উৎসবের মধ্য দিয়ে বরণ করে নিয়েছিল,The countrymen welcomed the them with joy and celebration.,Narail
এউগ্গা সয়ত্যই অন্যরহম,It's really amazing.,Barisal
কাইল সকালে মুই একনা অংপুর যাইম,I will go to Rangpur for a while tomorrow morning.,Rangpur
পানি আসবে এলায়,The water is coming now.,Rangpur
তোতকুন সুবারিউগ্গা চাবান,"Meanwhile, chew the betel nut",Barisal
রুমি মোরে পড়াতে বসালো,Rumi sat me down to read.,Narail
শোদ্ধ করি কতা কওয়া নাগোচে,It takes a lot to speak clearly.,Rangpur
মেহমান আইছে চেয়ারডা আউগাইয়া দে,Guest is coming bring the chair,Barisal
এই জায়গাডা অনেক পরিচিত,This place is very familiar.,Khulna
এইডা আমার হাত থেইক্কা পরে গেছে,This slipped from my hand!,Khulna
ট্রেন কতকুন ছাড়বে,When will the train leave?,Rangpur
তোমার উপরে ব্যাবাক ভরসা আছে,I have complete confidence in you.,Barisal
আমি বাংলা জম্মের ভালবাসি,I love being born in Bengal.,Khulna
তুমি কি স্কুলে যাও,Do you go to school?,Narail
দয়া করে এইটি আবার বলো,Please say it again.,Khulna
মোর শরীরটা ভাল নাগেচেনা,My body doesn’t feel good.,Rangpur
মুই তোমার কতা মোনে হরছেলাম,I was thinking about you.,Barisal
মুই অবাক হিয়া গাল্লাহম,I’m surprised.,Barisal
ক্ষেতে ফসল ভালো হয়েছে এইবার,The harvest in the fields has been good this time.,Narail
তোমার পাইন্নে দোয়া হরি,I pray for you.,Barisal
একটু রেস্ট নেতে আছি,Taking a little rest.,Barisal
আমরা একসাথে খেলবান,We will play together.,Khulna
তুমি সগুলির প্রিয়,You’re loved by everyone.,Khulna
মুই কি আম্মের সাহায্য নেতে হারি,Can I take your help?,Barisal
তোমার কত বয়াস,how old are you,Barisal
ভুলি যাইসনা যেন,Don't forget.,Rangpur
কি করলে ভাল হয় একটু পরামর্শ দেবেন,What is the best thing to do? Please give me some advice.,Narail
চুপচাপ থাকো,Be quiet.,Narail
তুমি সবাই কে সন্মান করো,You respect everyone.,Khulna
তুমি কোতকুন পড়াহুনা হরবা,How long do you study?,Barisal
বাচ্চা কানতেয়াছে খাওন খাওয়ায়ো,"The kids are crying, feed them.",Barisal
রাইতে তোর লগে দেখা করুম,I’ll meet you at night.,Khulna
আইজক্যা থাকি মুঁইও শুরু করিম,Today I will start too.,Rangpur
তোমার লইগ্যা কিছু কিনছি,I bought something for you.,Barisal
রান্নাঘরডা খুব গরম,The kitchen is very hot!,Khulna
মুই ড্যাফোডিলোত পড়ং,I study at Daffodil.,Rangpur
তুই কি নতুন কাজের জন্য পোস্তুত,Are you ready for a new job?,Rangpur
সত্য কথা হোনলে আতে লাগে,"If you tell the truth, it hurts",Barisal
তুই মোক কছলু ফুলতি তোক মুই ভালোবাসো,"You said to me, “I love you, little flower.”",Rangpur
খেয়া নে,Eat it.,Rangpur
কি সুন্দর চমৎকার এটি একটু উপহার দিন,How beautiful/wonderful! Give me a little gift.,Narail
তোমার মেমোরিডা আ্যাকছের ভালো,Your memory is very good.,Barisal
ঝেল্লার উপর আল্লাহ,Everything is in Allah’s hands.,Rangpur
মুই হোম্মে যামু,i will go there,Barisal
আয় একটা হাটি,"Come on, let's take a walk.",Rangpur
তোর খুব মনে থাকে,You have a very good memory.,Rangpur
কহোনো এ্যাল্লা বাইরকুলে বাইরাইস না,Never go out alone.,Barisal
আম্মের লগে কাম হরতে চাই,I want to work with you.,Barisal
মোর জন্যে একনা সহানুভূতি দেখান,Show some sympathy for me.,Rangpur
প্রত্যেকদিন পড়তি থাকো,Study every day.,Khulna
তুই কি মোর জন্নে বসি আছিস,Are you waiting for me?,Rangpur
আইজ সইন্দ্যাত বের হ,Go out this evening.,Rangpur
ওইতি মেলা ভালো কথা কয়,She/He speaks very nicely.,Narail
আজি হামার স্কুলোত পরীক্ষা ছিলো,"Today, there was an exam at our school.",Rangpur
তুই কোটে যাইছিস,Where have you gone?,Rangpur
হাসতি থাকো,Keep smiling.,Khulna
তোর পছন্দের ফল কি,What is your favorite fruit?,Khulna
কবিতার কবি কে রে দোস্ত,"Who’s the poet of the poem, friend?",Khulna
আরোহণ একটি দুঃসাহসিক সাধনা,Climbing is an adventurous pursuit.,Narail
বাহ্ তোমার গলার ভয়েউছগা আ্যাকছের মিডা,Wow! Your voice is so sweet!,Barisal
পারবো না আমি,I can’t do it.,Khulna
তোর কি নতুন রান্না শিকপের ইচ্ছা আছে,Are you willing to learn new cooking techniques?,Rangpur
নিজের কাম শেষ করো,Finish your work.,Narail
এউক্কাবার চেষ্টা হইর্রা দ্যাহো,Try it once.,Barisal
তুই আরেকজনের জন্যে সোগসমান সাহায্যকারী,You are always helpful to others.,Rangpur
এইহানে তো আর আসো না আগের মতোন করে,Don't come here like before.,Narail
আমাদের রংপুরের বাসায় কথা বলবো তাতে লজ্জার কিসের,Why be shy to speak in our Rangpur house?,Khulna
বিরাট কামের ছাওয়া তুই,You are a blessed son!,Rangpur
মোক এলকায় যাবার নামনায় ওত্তী,I am very reluctant to go to the area.,Rangpur
আ্যাতে কেডা কি কইলে ওয়া মোর দেহার বিষয় না,I don't care who says what.,Barisal
মুই মুরগার গোস্তো বেশি পছন্দ করি,I like chicken meat more.,Barisal
তুমিই হেরা,You are the best!,Barisal
বাহ তুমি এতো ভালো করে শিহিছো,Wow! You are learning so well.,Narail
হামাক একনা কইলেতো হামরাও গেইনো হয়,"If they told us, we would have gone too.",Rangpur
উষ্ণ পানি নিয়ে আসো,Bring some warm water.,Narail
আমি আর সহ্য করতি পারতি নে,I can’t bear it anymore.,Khulna
ল্যাপটপ ব্যবহার করেছিলাম,I used a laptop.,Narail
মুই প্রতিদিন ব্যায়াম করোং,I exercise every day.,Rangpur
আরে এটা কি শুননু,Hey! What am I hearing?,Rangpur
আমাকে নক করো,Knock me ,Narail
ক্যানে এমতন কলু,Why are you said this,Rangpur
এইভাবে তাহায় থাকলে কি হবে,What good will it do if you keep looking like this?,Narail
আমি তোর জন্যি কিছু নিয়ে আইছি,I brought something for you.,Khulna
আপনার প্রিয় গানের সাথে মন্তব্য করুন,Comment with your favorite song.,Narail
এইরকম সময় শামসউদ্দীন নতুন এক প্রস্তাব নিয়ে আসল,"At such a time, Shamsuddin came up with a new proposal.",Narail
কি চমৎকার সন্ধ্যা,What a wonderful evening!,Narail
আমি হলাম আসল রংপুরী,I am a real Rangpuri.,Khulna
ইস্যারে কেমনে করমু,How will I do this ?,Rangpur
তোরে দেখে খুব ভালো লাগল,I felt very happy seeing you!,Khulna
মুই গাও ধুয়া খাবার যাইম,I will eat after taking a shower.,Rangpur
হ মোর বই পইড়ভালো নাগে,"Yes, I like reading books.",Rangpur
কি খাবা কোফি না চা,Coffee or tea?,Barisal
তুমি আ্যাকছের ভরসা দেতে পারো,You inspire a lot.,Barisal
হায় হায় ক্যামনে হইলো এডা,Ha ha ha! How is it!,Barisal
এতো উঁচাই উঠো না,Don't get so high.,Narail
তুমি কি কখনো পার্টিতে যাবে,Will you ever go to a party?,Narail
তোমরা আইয়া তোমাগো বড়ো মোনের মাইনসের পোরিচয় দ্যাও,Come and introduce yourself to big-hearted people,Barisal
আড্ডি থাকলে ঝামেলা ভাগ হয়,"If there’s a gathering, troubles are shared!",Rangpur
আমি আইচকে মেলা কিলান্ত,I am a very tired today,Narail
শাহজাহান তাজমহল বানায়ছিলো,.Shah Jahan built the Taj Mahal.,Narail
এইডে সাবধানে কইরো,Do this carefully.,Narail
আমাগো দিকের রাস্তা খুব খারাপ,The road towards us is very bad.,Narail
দয়া করি তোমার অভিজ্ঞতা শেয়ার করো,Please share your experience.,Rangpur
আমনেরে কেডা পাডাইছে,Who sent you?,Barisal
তুই কি বলতে চাচ্ছ,What are you trying to say?,Khulna
এই সিনেমাটি সেই মারাত্মক মজার,This movie is really fun.,Narail
ওউগ্গা সাবধানে কইররো,Do it carefully.,Barisal
সে আবার আমার রাতের রান্না চেটে চেটে খায়,Yet he licks clean the food I cook at night.,Khulna
ফোন আমি কিন্তু রেগে গিয়েছ,I got angry on the phone.,Khulna
আমি স্বপ্ন দেখতি না তো,If I didn’t dream…,Khulna
একটু সাবধান থাকো,Be careful.,Narail
বাবা আমাদের জন্য অনেক কষ্ট কইততেছে,Dad is suffering a lot for us.,Narail
এনি বসো,Sit down here.,Narail
নদীর পাশের বাড়িটি বন্যায় শেষ হয়ে গিয়েছিল,The house by the river was destroyed by the flood.,Narail
তোমাদের এইখানে আইতে কত সময় লাগবে,How long will it take you to get here?,Narail
হে আ্যাকছের যত্নশীল বন্ধু,He is a very caring friend.,Barisal
তোর সবগুলো কথা মোর খুব সাহস যোগায়,Your every word inspires me.,Rangpur
মুই হগল সোমায় সয়ত্য কই,I always tell the truth.,Barisal
তুমি বিশাল পরিশ্রম করছো,You work very hard.,Khulna
আইজগো ইস্কুলে আ্যাকছের হাসাহাসি হইছে,Today was a lot of fun at school.,Barisal
এই রেস্তোরাঁডার খাওন আ্যাকছের মজার,The food in this restaurant is very interesting.,Barisal
তোমার কতা হুইন্না মোন খারাপ হইয়া গ্যালো,It makes me sad to hear you.,Barisal
তুই কোনোদিন নিজের ভুল স্বীকার করিস না,You never admit your mistakes.,Rangpur
আইজগো তোমারে সুন্দার লাগদে আছে,You look beautiful today.,Barisal
তুমি হগল সোমায় আশাবাদী,You are always optimistic.,Barisal
তুমার উৎসাও সব সময় কাজে লাগে,Your enthusiasm is always useful.,Khulna
মাবো ভোগ নাগাইছে,he food portion is over,Rangpur
আঙ্গিনাখান সামটানু,Clean the courtyard.,Rangpur
কোম্মে গ্যালেন,where did you go,Barisal
তাদেরকে মোর মুখ ফুটে কিছু কওয়া লাগত না,They didn't need to say anything to my face.,Narail
তুই কি নতুন কিছু শিকপের চাইশ,Do you want to learn something new?,Rangpur
আজইগো কনসার্টটা আ্যাকছের হইবে,Today's concert will be very good.,Barisal
আজকের দিনটা মেলা ভালো যাবান্নাইচ্চে,Today will be a very good day.,Rangpur
অ্যাগামেনন রাজি হন,Agamemnon agreed.,Narail
তুই এলাং এটে ওটে ঘুরি বেড়াস,You are wandering around here and there now.,Rangpur
হ মোর স্কুলোত মেলা বন্দু আছে,"Yes, I have many friends at school.",Rangpur
আতালে গরু বাইন্দা থো,Tie the cow there.,Barisal
মুই কিছু কবার পাইম না,I can't say anything.,Rangpur
তুমি কি আ্যাকছের বই পড়ো,Do you read many books?,Barisal
তুই খুব বিশ্ব্যাস করার মতোন,You are very trustworthy.,Rangpur
আজগে খিচুড়ি রান্না হইছে,Today khichuri has been cooked!,Khulna
কিছু নতুন শিখো,Learn something new.,Narail
স্কুলের সময়সূচি দেখো,Check the school schedule.,Narail
সমুদ্রের ঝিনুক খুঁজে মালা বানায়লাম,I found seashells and made a garland.,Narail
মোরা একলগে খেলমু,we will play together,Barisal
স্যার আমাদের একগাদা পড়া দিছিলো,"Sir,  taught us a lot.",Narail
তোর কাছত কোনো ধারনা আছে,Do you have any ideas?,Rangpur
তুই আইজকা খুব দেরি করলি,You’re very late today!,Khulna
মুই যাউছু বাপের বাড়ি,I am going to my father's house.,Rangpur
তুই কি গাড়ি চালাবার পাইশ,Can you drive?,Rangpur
সমইর মধ্যি শেষ কুরিও,Complete it on time.,Khulna
তোর খুব ধৈর্য,You are very patient.,Rangpur
মোরে মাফ হইর্রো,Forgive me!,Barisal
বিছানাডা খুব নরম,The bed is very soft!,Khulna
পুকুরডা খুব গভীর,The pond is very deep!,Khulna
মোরে তোমার পরিকল্পনা বলো,Tell me your plan.,Narail
এইজায়গায় বুসো,Sit here.,Khulna
আচ্ছা এটা কায় কইল,Okay! Who said that?,Rangpur
এটি তোমার জন্য,This is for you.,Narail
এই বাজারে অনেক কৃষেণ রে পাওয়া যায়,Many farmers  are available in this market.,Narail
বাড়ির কাম শেষ করো,Finish your homework.,Narail
তোর বয়স কত অইল এহন,How old are you now,Narail
গরু বান্দা লাগবে না,We don’t need the cow.,Barisal
সে ইতিহাস ল্যাখলো,He wrote history.,Narail
দরজাটা আটকে দে,Close the door.,Rangpur
মুই অনেক বড় মনের মানুষ,I am a very big-hearted person.,Rangpur
তুই কি নয়া কিছু শিকছিস,Are you learning anything new?,Rangpur
ভাত রেঁধা হইসে খাইতে আইবি,"The rice is cooked, will you come to eat?",Khulna
পরিশ্রম করে জ্ঞান হারিয়ে ফেলো না,Don't lose your wisdom through hard work.,Narail
আর কত কোনা সময় লাগবে,How much longer will it take?,Rangpur
মোক দেখাইচে আগ,He showed anger at me.,Rangpur
মোর মনে হবার নাগছে,I have a feeling that,Rangpur
তোমার বাড়ি কই,Where is your house?,Rangpur
তুমি হগল জিনিস ভুল বোঝো,You get everything wrong.,Barisal
মোক ছাড়ি চলি গেলু,If you leave me!,Rangpur
মা কহোন ফিরবে,When will Mom return?,Narail
আইজগো বাইরে যাইতে মোল্লায় না,I don't want to go out today.,Barisal
তোমার কাছে কোন ধারণা আছে,Do you have any ideas?,Narail
আইজ ইস্কুলি অনেক মজা হইছিল,School was a lot of fun today.,Narail
আরে তুই তো মেলা আলাদা,Hey! You are amazing!,Rangpur
তোর কথা শুনিয়া মনটায় খারাপ হয়া যায়,I feel sad to hear what you say.,Rangpur
পেইজডা উল্ডাও,Turn the page.,Barisal
সফটওয়্যার ডাউনলোড করিতে সময় লাগছিলো,It took time to download the software.,Narail
বাতাসডা এক্কেরে ঠান্ডা,The air is really cold!,Khulna
আজগের না আমায় কটকটি ফুরুই গি,I’ve been through a lot today.,Khulna
বাবা বাড়িতে নাই,Father is not at home.,Narail
হামনে কোমমেইদ্যা আইছেন,where did you come?,Barisal
এই গাউছগা আ্যাকছের বড়,This tree is very big.,Barisal
মোর আম্মুক দেখছিস,Did you see my mother?,Rangpur
তুই কি মোক চিনবার পাইছিস,Do you recognize me?,Rangpur
তোর নাম কী রে,What is your name?,Rangpur
আমাকে এক মিনিট সময় দাও,Give me a minute.,Narail
তুমি কি ছা ফছন্দ অরো,Do you like tea?,Narail
প্রিরিষ্ঠা উল্টোও,Turn the page.,Narail
এইডে ভুইলে যাও,Forget it.,Narail
কি বিপাকে হরলাম,What danger am I in?,Barisal
আজকে রাইতোত কি খাবার,What's for dinner tonight?,Rangpur
তোমার উদ্দামতা অন্যরহম,Your enthusiasm is really admirable.,Barisal
এহন দৌড়াও,run now,Barisal
তুই ক্যানভা মোক আর কলুই না মুই তোক ভালো বাসোং,You never told me ‘I love you’ anymore.,Rangpur
সে সব শুমাই দেরি কুরি আসে,He’s always late.,Khulna
বাড়ি কোন দিন আসিবু,Which day will you come home?,Rangpur
খাবারটি চেখে চেকে দেখো,Taste the food.,Narail
তোমরা কোনটে কাম করেন,Where do you work?,Rangpur
কি সোন্দর ছবি,What a wonderful picture!,Rangpur
তুমি হগলডির প্রিয়,you are everyone's favorite,Barisal
আমার মাথাডা এক্কেরে ব্যাথা করতাছে,My head is aching badly!,Khulna
ল্যাপটপ হ্যাক করছিলাম,I was hacking a laptop.,Narail
কায়বা সেদিন কইল,Someone might’ve said it that day,Rangpur
না মুই আইজকে বাড়িতেই থাকিম,"No, I will stay at home today.",Rangpur
বাহ কেমনে করে সম্ভব,Wow! How is this possible?,Khulna
মোর জন্যে একটা সহানুভূতি দেখান,Show some sympathy for me.,Rangpur
অ্যাঁটেকোনা থাকিস,Stay here.,Rangpur
সবার সাথে ভালো ব্যবুহার অরো,Behave well with everyone.,Narail
আমি রাতে তাড়াতাড়ি আগে আগে ঘুমাই,I go to sleep early at night.,Narail
মাইয়্যার হাতের ঝোল স্বর্গের সমান,The girl’s curry is like heaven!,Rangpur
আমনে বাইচ্চা আছেন,Are you alive?,Barisal
মোর লইগ্গা কিছুডা সহানুভূতি দ্যাহান,Have some sympathy for me.,Barisal
তোর কানডা মুই লাল হইরা হালামু,I’ll made your ears red.,Barisal
টোঙ্গের উফরে বও,Sitting on the tongs,Barisal
পানি খেয়ে গা টা ভালো লাগছে,I feel good after drinking water.,Narail
ডাংগে মারি ফেলাইম,I’ll beat you up,Rangpur
তুমি কখনো নিজের ভুল স্বীকার করলি না,You never admit your mistakes.,Khulna
দয়া হইর্রা এউগ্গা মোর লইগ্গা হরেন,Please do it for me.,Barisal
তুমি আ্যাকছের সহানুভূতিশীল,You are very compassionate.,Barisal
আম্মে কি মোরে কিছু সাহায্য হরবেন,Can you help me with something?,Barisal
আমি তোমার জন্নী কিছু কিনিচি,I bought something for you.,Khulna
কি সুন্দর গানের লাইনটা আবার কইবেন,Can you repeat the line of that beautiful song?,Rangpur
কায়বা সেদিন কইল তোক ফেসবুকত দেখচে,"He said that day, “I saw you on Facebook.”",Rangpur
তাড়াতাড়ি হাডা শুরু কর,Start walking quickly.,Barisal
সে সব সময় হাসিমুখে থাকে,She always keeps a smiling face.,Narail
তুমি সয়ত্যই আন্তরিক,you are really sincere,Barisal
মুই কি তোমার কাছত ধার নিবার পাং,Can I borrow from you?,Rangpur
মোর বাপ খুব ভালো মানুষ,My father is a very good person.,Rangpur
সে আমাকে সাহায্য করিছে,He helped me.,Khulna
কোনো ট্যাকা পয়সা নাই কি করুম,"There’s no money, what will I do?",Khulna
ধন্যবাদ কি উপহার,Thank you! What a gift!,Narail
পানিফল ফুটছে খালের ধারে,Water chestnuts are growing along the edge of the canal,Rangpur
মোর লইগ্গা একটু দয়া ধরেন,Have a little mercy for me.,Barisal
দয়া করি এই প্রজেক্টত সাহাইজ্জ করেন,Please help with this project.,Rangpur
আহা মুই তো অদ্ভুত,Aha! I'm weird!,Barisal
সে আমার একটা গল্প বলিলো,He told me a story.,Khulna
আমি রেইনফরেস্ট এতে গ্যাছিলাম,I went to the rainforest.,Narail
মুখে হাসি রাখো,Keep a smile on your face.,Narail
মুই হারাইয়া গেছি,I’ve lost.,Barisal
মুই তোমার লগে ঘোরতে যাইতে চাই,I want to travel with you.,Barisal
তুই সবাকই পুছ করি দেক,You ask everyone.,Rangpur
মুই কির লাইগা হক্কল কালে কষ্ট পাই,Why do I suffer everytime?,Barisal
মুই গাড়ি লইয়্যা বাইর হইতে পারতাসিনা,I could not go out with the car,Barisal
অবিশ্বাস্য এডা কি সত্যি,"Unbelievable, is this true?",Khulna
সে সব সুমাই হাসিমুখী থাকে,He always stays cheerful.,Khulna
মোরে একটু সুযোগ দিন,Give me a chance.,Narail
তুই কি সিনেমা দেখতি পছন্দ করিস,Do you like watching movies?,Khulna
আব্বা ধান কাটি আসলে গাও ধুবার যাইম বিলাই টা কেনে বা কান্দেছে,"Dad will come back after harvesting rice, then I’ll go bath. Why is the cat crying?",Rangpur
হে আ্যাকছের ভালো কতা কয়,He speaks very well.,Barisal
তোর বয়স কত কলনা,How old are you?,Rangpur
লোকটা আমাকে দুই চোখে সহ্য করতে পারে না,That man can’t stand me.,Khulna
মুই কিছু কবার পাইম না এত সকালে,I won’t say anything this early in the morning.,Rangpur
দরকার হলে মুই হেটে হেটে রংপুর যাবে কিন্তু এ বাসে উঠবো না,"If necessary, I can walk all the way to Rangpur, but I won’t take this bus.",Narail
তোক ক্যানে বেলা ক্যামন ক্যামন নাগেছে,How have you felt in different times?,Rangpur
কাইলকে খাইয়েন এহন,Feed me tomorrow,Narail
তোমার একছের প্রতিভা,You are very creative.,Barisal
মুই ওকন্যা জাগা হাটি য্যাম,I will walk that distance.,Rangpur
